"dataset","prompt","setting","example_selection","n","length_n","length_pct","stop_n","other_done_n","avg_wall_time_s","avg_prompt_tokens","avg_generated_tokens","avg_eval_tokens_per_s","avg_output_words","max_output_words","file"
"cochrane","minimal","zero","-","125","0","0","125","0","4,8","638,42","223,85","100,43","180,59","391","outputs/llama_512/predictions_llama3_1_8b_cochrane_minimal_zero.csv"
"cochrane","minimal","one","-","125","0","0","125","0","3,81","1010,42","124,04","99,1","103,37","214","outputs/llama_512/predictions_llama3_1_8b_cochrane_minimal_one.csv"
"cochrane","minimal","few","random","125","0","0","125","0","3,78","2099,42","122","94,26","99,66","209","outputs/llama_512/predictions_llama3_1_8b_cochrane_minimal_few_random.csv"
"cochrane","minimal","few","metric","125","0","0","125","0","4,1","2167,42","149,44","93,26","122,37","285","outputs/llama_512/predictions_llama3_1_8b_cochrane_minimal_few_metric.csv"
"cochrane","iso","zero","-","125","0","0","125","0","4,98","1277,42","226,58","92,52","171,5","386","outputs/llama_512/predictions_llama3_1_8b_cochrane_iso_zero.csv"
"cochrane","iso","one","-","125","2","1,6","123","0","4,61","1657,42","191,46","91,36","148,21","453","outputs/llama_512/predictions_llama3_1_8b_cochrane_iso_one.csv"
"cochrane","iso","few","random","125","1","0,8","124","0","4,29","2746,42","161,51","89,7","124,82","422","outputs/llama_512/predictions_llama3_1_8b_cochrane_iso_few_random.csv"
"cochrane","iso","few","metric","125","0","0","125","0","4,65","2814,42","196,98","91,43","151,27","288","outputs/llama_512/predictions_llama3_1_8b_cochrane_iso_few_metric.csv"
"cochrane","iso_examples","zero","-","125","5","4","120","0","5,42","3646,42","264,58","90,84","190,3","402","outputs/llama_512/predictions_llama3_1_8b_cochrane_iso_examples_zero.csv"
"cochrane","iso_examples","one","-","125","4","3,2","121","0","5,03","4026,42","227,85","90,37","170,95","431","outputs/llama_512/predictions_llama3_1_8b_cochrane_iso_examples_one.csv"
"cochrane","iso_examples","few","random","125","3","2,4","122","0","4,81","5115,42","203,69","88,59","150,09","419","outputs/llama_512/predictions_llama3_1_8b_cochrane_iso_examples_few_random.csv"
"cochrane","iso_examples","few","metric","125","1","0,8","124","0","4,95","5183,42","213,22","87,88","159,14","413","outputs/llama_512/predictions_llama3_1_8b_cochrane_iso_examples_few_metric.csv"
"plaba","minimal","zero","-","148","0","0","148","0","4,14","441,34","168,15","100,89","132,22","238","outputs/llama_512/predictions_llama3_1_8b_plaba_minimal_zero.csv"
"plaba","minimal","one","-","148","0","0","148","0","3,98","1159,34","152,07","99,3","120,14","323","outputs/llama_512/predictions_llama3_1_8b_plaba_minimal_one.csv"
"plaba","minimal","few","random","148","0","0","148","0","4,17","2482,34","164,76","95,38","129,72","250","outputs/llama_512/predictions_llama3_1_8b_plaba_minimal_few_random.csv"
"plaba","minimal","few","metric","148","0","0","148","0","4,01","2812,34","148,09","94,58","116,82","207","outputs/llama_512/predictions_llama3_1_8b_plaba_minimal_few_metric.csv"
"plaba","iso","zero","-","148","0","0","148","0","4,47","1080,34","198,63","98,39","145,14","263","outputs/llama_512/predictions_llama3_1_8b_plaba_iso_zero.csv"
"plaba","iso","one","-","148","0","0","148","0","4,3","1806,34","178,48","96,71","133,74","293","outputs/llama_512/predictions_llama3_1_8b_plaba_iso_one.csv"
"plaba","iso","few","random","148","0","0","148","0","4,47","3129,34","187,59","92,96","141,98","238","outputs/llama_512/predictions_llama3_1_8b_plaba_iso_few_random.csv"
"plaba","iso","few","metric","148","0","0","148","0","4,34","3459,34","172,91","92,55","129,76","258","outputs/llama_512/predictions_llama3_1_8b_plaba_iso_few_metric.csv"
"plaba","iso_examples","zero","-","148","0","0","148","0","4,61","3449,34","198,14","92,11","142,46","254","outputs/llama_512/predictions_llama3_1_8b_plaba_iso_examples_zero.csv"
"plaba","iso_examples","one","-","148","1","0,68","147","0","4,75","4175,34","205,91","90,65","154,09","362","outputs/llama_512/predictions_llama3_1_8b_plaba_iso_examples_one.csv"
"plaba","iso_examples","few","random","148","0","0","148","0","4,8","5498,34","202,36","87,55","152,46","285","outputs/llama_512/predictions_llama3_1_8b_plaba_iso_examples_few_random.csv"
"plaba","iso_examples","few","metric","148","0","0","148","0","4,69","5828,34","191,26","86,99","140,09","229","outputs/llama_512/predictions_llama3_1_8b_plaba_iso_examples_few_metric.csv"
"tsar2025","minimal","zero","-","100","0","0","100","0","3,19","234,03","78,06","106,51","64,87","111","outputs/llama_512/predictions_llama3_1_8b_tsar2025_minimal_zero.csv"
"tsar2025","minimal","one","-","100","0","0","100","0","3,25","532,03","84,02","104,73","70,17","121","outputs/llama_512/predictions_llama3_1_8b_tsar2025_minimal_one.csv"
"tsar2025","minimal","few","random","100","0","0","100","0","3,29","831,03","88,77","103,85","74,55","119","outputs/llama_512/predictions_llama3_1_8b_tsar2025_minimal_few_random.csv"
"tsar2025","minimal","few","metric","100","0","0","100","0","3,28","935,03","85,49","103,89","72,1","121","outputs/llama_512/predictions_llama3_1_8b_tsar2025_minimal_few_metric.csv"
"tsar2025","iso","zero","-","100","0","0","100","0","3,39","873,03","96,57","102,74","78,37","178","outputs/llama_512/predictions_llama3_1_8b_tsar2025_iso_zero.csv"
"tsar2025","iso","one","-","100","0","0","100","0","3,32","1178,03","88,74","102,88","73,28","122","outputs/llama_512/predictions_llama3_1_8b_tsar2025_iso_one.csv"
"tsar2025","iso","few","random","100","0","0","100","0","3,34","1478,03","88,86","101,39","73,74","121","outputs/llama_512/predictions_llama3_1_8b_tsar2025_iso_few_random.csv"
"tsar2025","iso","few","metric","100","0","0","100","0","3,3","1582,03","84,38","101,17","69,95","114","outputs/llama_512/predictions_llama3_1_8b_tsar2025_iso_few_metric.csv"
