prompt,strategy,sampling,N,n_length,pct_length,n_stop,avg_wall_s,avg_load_s,avg_prompt_s,avg_eval_s,avg_prompt_tokens,avg_eval_tokens,max_eval_tokens,avg_prompt_tps,avg_eval_tps,avg_words,max_words
minimal,zero,-,125,0,0.0,125,4.8,0.24,0.2,2.24,638.42,223.85,468.0,4158.39,100.43,180.59,391
minimal,one,-,125,0,0.0,125,3.81,0.24,0.19,1.26,1010.42,124.04,269.0,6212.18,99.1,103.37,214
minimal,few,random,125,0,0.0,125,3.78,0.23,0.18,1.3,2099.42,122.0,258.0,13878.09,94.26,99.66,209
minimal,few,metric,125,0,0.0,125,4.1,0.24,0.19,1.61,2167.42,149.44,343.0,13641.66,93.26,122.37,285
iso,zero,-,125,0,0.0,125,4.98,0.24,0.17,2.46,1277.42,226.58,458.0,8341.62,92.52,171.5,386
iso,one,-,125,2,1.6,123,4.61,0.24,0.19,2.11,1657.42,191.46,512.0,10193.87,91.36,148.21,453
iso,few,random,125,1,0.8,124,4.29,0.23,0.18,1.81,2746.42,161.51,512.0,17730.23,89.7,124.82,422
iso,few,metric,125,0,0.0,125,4.65,0.24,0.17,2.17,2814.42,196.98,377.0,18854.02,91.43,151.27,288
iso_examples,zero,-,125,5,4.0,120,5.42,0.24,0.18,2.93,3646.42,264.58,512.0,24558.82,90.84,190.3,402
iso_examples,one,-,125,4,3.2,121,5.03,0.24,0.19,2.53,4026.42,227.85,512.0,25860.07,90.37,170.95,431
iso_examples,few,random,125,3,2.4,122,4.81,0.24,0.19,2.31,5115.42,203.69,512.0,32505.67,88.59,150.09,419
iso_examples,few,metric,125,1,0.8,124,4.95,0.24,0.2,2.43,5183.42,213.22,512.0,32404.32,87.88,159.14,413
