model_name,dataset_name,prompt_type,strategy,sampling_method,lang,sari_method,BLEU,SARI,FKGL,FRE,BERTScore-F1,MeaningBERT
llama3_1_8b,cochrane,iso_examples,few,metric,en,standard,10.7,38.98,11.24,42.63,0.87,76.17
llama3_1_8b,cochrane,iso_examples,few,random,en,standard,10.26,38.85,11.92,38.63,0.8699,74.5
llama3_1_8b,cochrane,iso_examples,one,,en,standard,10.55,38.52,11.32,42.09,0.864,74.07
llama3_1_8b,cochrane,iso_examples,zero,,en,standard,12.14,38.09,10.62,44.1,0.8666,79.21
llama3_1_8b,cochrane,iso,few,metric,en,standard,8.03,38.54,11.56,41.94,0.8712,72.87
llama3_1_8b,cochrane,iso,few,random,en,standard,6.85,38.57,12.48,36.82,0.8744,72.51
llama3_1_8b,cochrane,iso,one,,en,standard,7.3,38.29,11.52,42.16,0.8667,71.98
llama3_1_8b,cochrane,iso,zero,,en,standard,8.31,38.4,10.52,46.75,0.8652,71.96
llama3_1_8b,cochrane,minimal,few,metric,en,standard,4.6,37.64,10.86,48.68,0.8711,65.1
llama3_1_8b,cochrane,minimal,few,random,en,standard,3.64,37.77,11.29,46.16,0.8728,65.31
llama3_1_8b,cochrane,minimal,one,,en,standard,2.95,36.52,10.21,51.93,0.8697,62.87
llama3_1_8b,cochrane,minimal,zero,,en,standard,6.72,38.31,9.73,54.44,0.8666,66.44
llama3_1_8b,plaba,iso_examples,few,metric,en,standard,11.5,37.16,10.68,49.3,0.8855,72.66
llama3_1_8b,plaba,iso_examples,few,random,en,standard,11.98,37.23,10.22,51.43,0.8838,70.01
llama3_1_8b,plaba,iso_examples,one,,en,standard,8.55,34.88,9.32,55.29,0.8665,58.97
llama3_1_8b,plaba,iso_examples,zero,,en,standard,10.87,36.68,10.55,48.53,0.8813,73.15
llama3_1_8b,plaba,iso,few,metric,en,standard,8.77,36.16,10.32,51.07,0.8848,71.27
llama3_1_8b,plaba,iso,few,random,en,standard,10.43,37.1,10.67,49.92,0.8866,71.03
llama3_1_8b,plaba,iso,one,,en,standard,6.53,33.71,9.61,54.24,0.8683,60.36
llama3_1_8b,plaba,iso,zero,,en,standard,9.06,36.3,10.08,51.52,0.8744,68.19
